  rep1  R1_raw=   9.098  R1_res=   9.900  R3_res=   6.621  RankMe_raw=   3.116  channel=0.5543
  rep2  R1_raw=  13.096  R1_res=  14.068  R3_res=   9.551  RankMe_raw=   9.646  channel=0.5476
  rep3  R1_raw=  11.182  R1_res=  12.105  R3_res=   8.215  RankMe_raw=   9.773  channel=0.5571
  rep4  R1_raw=  11.401  R1_res=  12.288  R3_res=   8.215  RankMe_raw=   4.746  channel=0.5611
  rep5  R1_raw=  12.993  R1_res=  14.112  R3_res=   9.578  RankMe_raw=  11.058  channel=0.5637

floor (max/min over the five repeats)
            view         block          statistic        min        max     fold  shape
    full_biology           raw          alpha_req     3.7253     5.7646   1.547x  not bimodal (outlier=rep1, rest=1.217x, sep=1.27)
    full_biology           raw  alpha_req_abs_dev     2.7253     4.7646   1.748x  not bimodal (outlier=rep1, rest=1.276x, sep=1.37)
    full_biology           raw          hard_rank   256.0000   256.0000   1.000x  not bimodal (outlier=rep1, rest=1.000x, sep=1.00)
    full_biology           raw        stable_rank     3.0704     3.5986   1.172x  not bimodal (outlier=rep5, rest=1.128x, sep=1.04)
    full_biology  residualised                 PR     4.2372     5.2737   1.245x  not bimodal (outlier=rep5, rest=1.113x, sep=1.12)
    full_biology  residualised         PR_rownorm     4.3979     5.6027   1.274x  not bimodal (outlier=rep1, rest=1.157x, sep=1.10)
    full_biology  residualised                 R1     9.9526    14.1530   1.422x  not bimodal (outlier=rep1, rest=1.160x, sep=1.23)
    full_biology  residualised                 R2     6.2563     9.1386   1.461x  not bimodal (outlier=rep1, rest=1.164x, sep=1.25)
    full_biology  residualised                 R3     6.6422     9.5847   1.443x  not bimodal (outlier=rep1, rest=1.164x, sep=1.24)
    full_biology  residualised             RankMe     9.9546    14.1558   1.422x  not bimodal (outlier=rep1, rest=1.160x, sep=1.23)
    full_biology  residualised          alpha_req     3.7039     5.6891   1.536x  not bimodal (outlier=rep1, rest=1.202x, sep=1.28)
    full_biology  residualised  alpha_req_abs_dev     2.7039     4.6891   1.734x  not bimodal (outlier=rep1, rest=1.257x, sep=1.38)
    full_biology  residualised          hard_rank   256.0000   256.0000   1.000x  not bimodal (outlier=rep1, rest=1.000x, sep=1.00)
    full_biology  residualised        stable_rank     2.8967     3.4194   1.180x  not bimodal (outlier=rep2, rest=1.116x, sep=1.06)
  wsi_rna_paired           raw              LiDAR     7.8005    16.9333   2.171x  not bimodal (outlier=rep1, rest=1.610x, sep=1.35)
  wsi_rna_paired  residualised              LiDAR     8.0220    20.5270   2.559x  not bimodal (outlier=rep1, rest=1.738x, sep=1.47)
         channel  residualised         top_cca_16     0.5476     0.5637   1.029x  not bimodal (outlier=rep2, rest=1.017x, sep=1.01)

wrote /home/ubuntu/e0_run/d1_envelope_pf/out/P2_ENVELOPE_FLOORS_PF.json
