timestamp_utc,experiment,gate,value,threshold,status,note
2026-08-01T00:31:51.221264+00:00,E0_E0b,E0.e_matched_spectrum_floor_k25_RPE1_signed_log1p,"{""spectrum_rel_error"": 6.025375523472775e-08, ""orthonormality_error"": 3.956195424592579e-07, ""checked_draws"": 3.0}",measured rotation: relative singular error<0.0001 and ||QtQ-I||<0.0001 on >=1 draw,PASS,RPE1_signed_log1p
2026-08-01T00:31:51.221285+00:00,E0_E0b,E0.g_responsive_exceeds_nonresponsive_k25_RPE1_signed_log1p,"{""responsive_exceeds_nonresponsive"": true, ""decision_status"": ""available"", ""responsive_overlap"": 0.05923464149236679, ""nonresponsive_overlap"": 0.019841400906443596, ""responsive_ci95"": [0.044393908232450485, 0.06439175605773925], ""nonresponsive_ci95"": [0.012818999262526632, 0.016062402259558437], ""bootstrap_diff_ci95"": [0.02981643849052489, 0.050034390203654765], ""bootstrap_diff_median"": 0.03840219834819436, ""n_paired_bootstrap_draws"": 1000, ""responsive_exceeds_nonresponsive_marginal_ci"": true, ""overlap_gap"": 0.039393240585923195, ""responsive_normalised_alignment"": 0.06144269093908429, ""nonresponsive_normalised_alignment"": 0.018193177905829975, ""n_rows"": [168, 168], ""arms_are_n_matched"": true, ""responsive_beats_haar_floor_only"": true, ""control_beats_haar_floor"": true}",n-matched responsive bootstrap CI lower > non-responsive CI upper,OBSERVED,RPE1_signed_log1p
2026-08-01T00:31:51.221288+00:00,E0_E0b,E0.i_normalised_alignment_interpretable_k25_RPE1_signed_log1p,0.9106061889324337,ceiling-null gap > 1e-6 so (observed-null)/(ceiling-null) is interpretable,PASS,RPE1_signed_log1p
2026-08-01T00:31:51.221296+00:00,E0_E0b,E0.i_normalised_alignment_value_k25_RPE1_signed_log1p,"{""normalised"": 0.10596726741832477, ""status"": ""available""}",reported for scale; no pass/fail threshold is predeclared,OBSERVED,RPE1_signed_log1p
2026-08-01T00:33:49.721959+00:00,E0_E0b,G1.1_no_constant_columns,"{""dropped"": 0, ""pre_constant"": 7094, ""dropped_fraction"": 0.0, ""evaluated"": 7094}",n_constant_columns_dropped <= 0.01*n_matched_pre_constant AND n_matched_evaluated > 100,PASS,K562_clip_log1p
2026-08-01T00:33:49.721991+00:00,E0_E0b,G1.2_real_gene_join,"8246,20501,7094",">=0.8*min(left,right)",PASS,K562_clip_log1p
2026-08-01T00:33:49.721996+00:00,E0_E0b,G1.3_join_not_scrambled,per-k observed vs gene-label permutation,"recorded; join validity is enforced by G1.2/G1.6, not by this statistic",OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722034+00:00,E0_E0b,G1.4_scale_sanity,"{""raw_max"": 7092440.0, ""post_transform_max"": 22.757850646972656, ""post_transform_zero_fraction"": 0.14395144397007015, ""post_transform_skew"": -0.3311559557914734}",all finite; post_transform_max>0; 0<=zero_fraction<1,PASS,K562_clip_log1p
2026-08-01T00:33:49.722052+00:00,E0_E0b,G1.5_explicit_row_filtering,"{""P_nonfinite"": 2341, ""T_nonfinite"": 1671, ""P_zero"": 0, ""T_zero"": 0}",every drop counted and P/T drops leave the declared row counts intact,PASS,K562_clip_log1p
2026-08-01T00:33:49.722062+00:00,E0_E0b,G1.6_housekeeping_mapping,"ACTB,B2M,GAPDH,RPL13A,TUBB",all five present,PASS,K562_clip_log1p
