timestamp_utc,experiment,gate,value,threshold,status,note
2026-08-01T00:21:18.713832+00:00,E0_E0b,G0.1_workspace_real,link=/home/ubuntu/ws/morpheus;target=/home/ubuntu/morpheus-rebase,declared runtime link resolves to exact git root,PASS,Linux symlink is the remote equivalent of the required Windows Junction; prevents stale copied source
2026-08-01T00:21:18.720426+00:00,E0_E0b,G0.2_code_identity,94f0e53d1e4197e29df31baafc5fa6b504c8f48c,clean source/config worktree (protocol ledgers allowed),PASS,dirty=none
2026-08-01T00:21:19.030311+00:00,E0_E0b,G0.3_k562_identity,size=374587922;mtime=1785531001145506219;sha=37e48c474d8b5dea,readable,PASS,/home/ubuntu/e0_run/data/K562_gwps_normalized_bulk_01.h5ad
2026-08-01T00:21:19.114347+00:00,E0_E0b,G0.3_rpe1_identity,size=95350546;mtime=1785531007309646869;sha=a3c5bfd0f15d6393,readable,PASS,/home/ubuntu/e0_run/data/rpe1_normalized_bulk_01.h5ad
2026-08-01T00:21:19.854460+00:00,E0_E0b,G0.3_tcga_identity,size=960703728;mtime=1785531543884890176;sha=bf9806c1a95758b8,readable,PASS,/home/ubuntu/e0_run/data/tcga_pancan_rna.parquet
2026-08-01T00:21:19.856379+00:00,E0_E0b,G0.3_tcga_registry_identity,size=46018;mtime=1785531197160978802;sha=7f9fe1e73ace2523,readable,PASS,/home/ubuntu/e0_run/data/tcga_cancer_registry.parquet
2026-08-01T00:21:19.856397+00:00,E0_E0b,G0.4_manifest_read,data-source experiment; no trained artifacts compared,"RECORDED OBSERVATION, NOT A TEST: not applicable, explicitly declared",PASS,"recorded observation, not a test; input identities emitted in input_manifest.json and gated by G0.3"
2026-08-01T00:23:36.925459+00:00,E0_E0b,G1.1_no_constant_columns,"{""dropped"": 0, ""pre_constant"": 7094, ""dropped_fraction"": 0.0, ""evaluated"": 7094}",n_constant_columns_dropped <= 0.01*n_matched_pre_constant AND n_matched_evaluated > 100,PASS,K562_signed_log1p
2026-08-01T00:23:36.925495+00:00,E0_E0b,G1.2_real_gene_join,"8246,20501,7094",">=0.8*min(left,right)",PASS,K562_signed_log1p
2026-08-01T00:23:36.925502+00:00,E0_E0b,G1.3_join_not_scrambled,per-k observed vs gene-label permutation,"recorded; join validity is enforced by G1.2/G1.6, not by this statistic",OBSERVED,K562_signed_log1p
2026-08-01T00:23:36.925545+00:00,E0_E0b,G1.4_scale_sanity,"{""raw_max"": 7092440.0, ""post_transform_max"": 22.757850646972656, ""post_transform_zero_fraction"": 0.14392274296057989, ""post_transform_skew"": -0.3311598598957062}",all finite; post_transform_max>0; 0<=zero_fraction<1,PASS,K562_signed_log1p
2026-08-01T00:23:36.925563+00:00,E0_E0b,G1.5_explicit_row_filtering,"{""P_nonfinite"": 2341, ""T_nonfinite"": 1671, ""P_zero"": 0, ""T_zero"": 0}",every drop counted and P/T drops leave the declared row counts intact,PASS,K562_signed_log1p
2026-08-01T00:23:36.925574+00:00,E0_E0b,G1.6_housekeeping_mapping,"ACTB,B2M,GAPDH,RPL13A,TUBB",all five present,PASS,K562_signed_log1p
