timestamp_utc,experiment,gate,value,threshold,status,note
2026-07-31T22:01:21.407856+00:00,E0_E0b,E0.i_normalised_alignment_interpretable_k25_K562_signed_log1p,0.9065632859710604,ceiling-null gap > 1e-6 so (observed-null)/(ceiling-null) is interpretable,PASS,K562_signed_log1p
2026-07-31T22:01:21.407864+00:00,E0_E0b,E0.i_normalised_alignment_value_k25_K562_signed_log1p,"{""normalised"": 0.10635220245937956, ""status"": ""available""}",reported for scale; no pass/fail threshold is predeclared,OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.407869+00:00,E0_E0b,G4.1_positive_control_split_half_k50_K562_signed_log1p,0.8844084143638611,> same-path heldout matched-null p95,PASS,K562_signed_log1p
2026-07-31T22:01:21.407872+00:00,E0_E0b,G4.2_negative_control_rotated_P_k50_K562_signed_log1p,0.007052527507767081,near k/n_genes,PASS,K562_signed_log1p
2026-07-31T22:01:21.407882+00:00,E0_E0b,G4.2b_negative_control_gene_shuffle_k50_K562_signed_log1p,"{""median"": 0.013000536244362593, ""p95"": 0.013369146222248673, ""p"": 0.000999000999000999}","recorded; near-identical to the Haar null by construction, so not independent corroboration",OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.407890+00:00,E0_E0b,G4.3_null_sanity_k50_K562_signed_log1p,"{""std"": 0.00019187204436935286, ""p95"": 0.007372636091895401}",std>0; nondegenerate,PASS,K562_signed_log1p
2026-07-31T22:01:21.407900+00:00,E0_E0b,G4.4_heldout_vs_insample_k50_K562_signed_log1p,"{""in"": 0.10083130747079849, ""heldout"": 0.09922780096530914}",reported; no fitted mapping,PASS,K562_signed_log1p
2026-07-31T22:01:21.407904+00:00,E0_E0b,G4.5_null_resolution_k50_K562_signed_log1p,0.000999000999000999,draws>=100,PASS,K562_signed_log1p
2026-07-31T22:01:21.407913+00:00,E0_E0b,G4.6_effect_ci_k50_K562_signed_log1p,"{""bootstrap_ci95"": [0.08016161136329174, 0.08999819979071617], ""null_p95"": 0.007372636091895401}","finding, not validity: an extreme negative here is a RESULT and must not fail the run",OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.407918+00:00,E0_E0b,E0.b_pc1_not_dominant_k50_K562_signed_log1p,0.15199373144466266,pc1_share < 0.9 so the result is not merely the mean-expression axis,PASS,K562_signed_log1p
2026-07-31T22:01:21.407927+00:00,E0_E0b,E0.b_observed_vs_haar_floor_k50_K562_signed_log1p,"{""observed"": 0.10083130747079849, ""null_p95"": 0.007372636091895401}",recorded for comparison; beating the Haar floor is explicitly NOT the decision rule,OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.407930+00:00,E0_E0b,E0.d_ceiling_k50_K562_signed_log1p,0.8844084143638611,>null p95,PASS,K562_signed_log1p
2026-07-31T22:01:21.407942+00:00,E0_E0b,E0.e_matched_spectrum_floor_k50_K562_signed_log1p,"{""spectrum_rel_error"": 9.796866337868354e-08, ""orthonormality_error"": 4.352119844508451e-07, ""checked_draws"": 3.0}",measured rotation: relative singular error<0.0001 and ||QtQ-I||<0.0001 on >=1 draw,PASS,K562_signed_log1p
2026-07-31T22:01:21.407962+00:00,E0_E0b,E0.g_responsive_exceeds_nonresponsive_k50_K562_signed_log1p,"{""responsive_exceeds_nonresponsive"": true, ""decision_status"": ""available"", ""responsive_overlap"": 0.07135210186243057, ""nonresponsive_overlap"": 0.03081698901951313, ""responsive_ci95"": [0.05835458924993873, 0.06492418237030506], ""nonresponsive_ci95"": [0.02275444706901908, 0.026736403349786997], ""bootstrap_diff_ci95"": [0.03314125682227313, 0.04054738548584282], ""bootstrap_diff_median"": 0.036674920469522476, ""n_paired_bootstrap_draws"": 1000, ""responsive_exceeds_nonresponsive_marginal_ci"": true, ""overlap_gap"": 0.04053511284291744, ""responsive_normalised_alignment"": 0.07328061107485087, ""nonresponsive_normalised_alignment"": 0.02710427630011057, ""n_rows"": [956, 956], ""arms_are_n_matched"": true, ""responsive_beats_haar_floor_only"": true, ""control_beats_haar_floor"": true}",n-matched responsive bootstrap CI lower > non-responsive CI upper,OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.407966+00:00,E0_E0b,E0.i_normalised_alignment_interpretable_k50_K562_signed_log1p,0.877355886856094,ceiling-null gap > 1e-6 so (observed-null)/(ceiling-null) is interpretable,PASS,K562_signed_log1p
2026-07-31T22:01:21.407973+00:00,E0_E0b,E0.i_normalised_alignment_value_k50_K562_signed_log1p,"{""normalised"": 0.1068879588864185, ""status"": ""available""}",reported for scale; no pass/fail threshold is predeclared,OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.407977+00:00,E0_E0b,G4.1_positive_control_split_half_k100_K562_signed_log1p,0.8386825323104858,> same-path heldout matched-null p95,PASS,K562_signed_log1p
2026-07-31T22:01:21.407980+00:00,E0_E0b,G4.2_negative_control_rotated_P_k100_K562_signed_log1p,0.014094834681600332,near k/n_genes,PASS,K562_signed_log1p
2026-07-31T22:01:21.407990+00:00,E0_E0b,G4.2b_negative_control_gene_shuffle_k100_K562_signed_log1p,"{""median"": 0.01800280064344406, ""p95"": 0.018332544527947903, ""p"": 0.000999000999000999}","recorded; near-identical to the Haar null by construction, so not independent corroboration",OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.407999+00:00,E0_E0b,G4.3_null_sanity_k100_K562_signed_log1p,"{""std"": 0.0001969868192829235, ""p95"": 0.014418082917109132}",std>0; nondegenerate,PASS,K562_signed_log1p
2026-07-31T22:01:21.408008+00:00,E0_E0b,G4.4_heldout_vs_insample_k100_K562_signed_log1p,"{""in"": 0.10555120557546616, ""heldout"": 0.10381706431508064}",reported; no fitted mapping,PASS,K562_signed_log1p
2026-07-31T22:01:21.408011+00:00,E0_E0b,G4.5_null_resolution_k100_K562_signed_log1p,0.000999000999000999,draws>=100,PASS,K562_signed_log1p
2026-07-31T22:01:21.408020+00:00,E0_E0b,G4.6_effect_ci_k100_K562_signed_log1p,"{""bootstrap_ci95"": [0.08419216033071279, 0.09094226341694593], ""null_p95"": 0.014418082917109132}","finding, not validity: an extreme negative here is a RESULT and must not fail the run",OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.408025+00:00,E0_E0b,E0.b_pc1_not_dominant_k100_K562_signed_log1p,0.08940037954176794,pc1_share < 0.9 so the result is not merely the mean-expression axis,PASS,K562_signed_log1p
2026-07-31T22:01:21.408033+00:00,E0_E0b,E0.b_observed_vs_haar_floor_k100_K562_signed_log1p,"{""observed"": 0.10555120557546616, ""null_p95"": 0.014418082917109132}",recorded for comparison; beating the Haar floor is explicitly NOT the decision rule,OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.408036+00:00,E0_E0b,E0.d_ceiling_k100_K562_signed_log1p,0.8386825323104858,>null p95,PASS,K562_signed_log1p
