decorrelation=0.04  consistency=1.0  capacity=512  steps=300  probe patients=256
  step  eff-rank  feat-std  rna-rna  contrastive    decorr
     0     67.55    0.0342   0.3650          nan       nan
    50      5.05    0.0062   0.9101       6.5107     33.11
   100      2.55    0.0080   0.9130       5.8595     32.75
   150      2.72    0.0042   0.9820       5.3906     21.53
   200      2.63    0.0056   0.9838       6.3532      9.24
   250      2.33    0.0044   0.9824       6.0494     14.40
   300      2.45    0.0074   0.9204       5.1562     10.34

DONE decorrelation=0.04 final_eff_rank=2.45 rna_rna=0.9204
